id,record_type,source,requirement,priority,component,owner,test,evidence,evidence_locator,gate,delivery_status,source_status,next_action
"REQ-001","PROGRAM_REQUIREMENT","Contrato 2.1","Corregir acceso de rastreadores indexación y mensaje del sitio","P1","Web","Product Engineering","E2E SEO y headers","Contrato fuente local","/Users/Jorge/dev/teckel-discovery/sales/ennco/Contrato-ENNCO-Teckel.pdf#pages=2-3","M3","NOT_STARTED","VERIFIED_SOURCE","Implementar y verificar en staging antes de cualquier cambio público"
"REQ-002","PROGRAM_REQUIREMENT","Contrato 2.2","Instalar analítica y eventos de conversión","P1","Analytics","Product Engineering","Eventos allowlist sin PII","RPC HMAC y allowlist auditados en PostgreSQL local","/Users/Jorge/dev/ennco-revenue-platform/supabase/tests/005_conversion_analytics_gate.sql","M3","EVIDENCE_READY","VERIFIED_SOURCE","Ejecutar canary en Supabase aislado antes de aceptar producción"
"REQ-003","PROGRAM_REQUIREMENT","Contrato 2.3","Crear página de captación con precotización y PDF","P0","Captación","Product Engineering","E2E prequote","Landing PDF persistencia segura y backtest local","/Users/Jorge/dev/ennco-revenue-platform/docs/evidence/M3-gate-report.md","M3","EVIDENCE_READY","VERIFIED_SOURCE","Paco y legal deben aprobar modelo y aviso; upload requiere scanner antes de abrir"
"REQ-004","PROGRAM_REQUIREMENT","Contrato 2.4","Construir base de plantas industriales","P0","Research","Revenue Operations","Importación y QA","Contrato y directorio fuente","/Users/Jorge/Downloads/Directorio_Empresas_Corredor_Leon_Queretaro.xlsx#Directorio corredor!A1:H28","M6","NOT_STARTED","VERIFIED_SOURCE","Usar como semilla de investigación y no como pipeline"
"REQ-005","PROGRAM_REQUIREMENT","Contrato 2.5","Operar secuencia de ocho contactos","P0","Outreach","Revenue Operations","Dry run y schedule","Contrato fuente local","/Users/Jorge/dev/teckel-discovery/sales/ennco/Contrato-ENNCO-Teckel.pdf#page=3","M6","NOT_STARTED","VERIFIED_SOURCE","Construir en dry run y solicitar aprobación sólo antes del envío real"
"REQ-006","PROGRAM_REQUIREMENT","Contrato 2.6","Crear plataforma de datos de contacto","P0","Data","Product Engineering","RLS e import test","RLS local, integridad tenant e importación pasan; Auth real sigue bloqueado","/Users/Jorge/dev/ennco-revenue-platform/supabase/tests/001_core_gate.sql","M2","EVIDENCE_READY","VERIFIED_SOURCE","Revalidar con claims reales en staging ENNCO antes de live"
"REQ-007","PROGRAM_REQUIREMENT","Contrato 2.7","Configurar dominios buzones y reputación","P0","Deliverability","Revenue Operations","DNS y seed tests","Contrato fuente local","/Users/Jorge/dev/teckel-discovery/sales/ennco/Contrato-ENNCO-Teckel.pdf#page=3","M6","BLOCKED","VERIFIED_SOURCE","Esperar aprobación de compra DNS y credenciales"
"REQ-008","PROGRAM_REQUIREMENT","Contrato 2.8","Aislar infraestructura de base y páginas","P0","Platform","Product Engineering","Environment isolation","Repositorio aislado y runtime fail closed verificados localmente","/Users/Jorge/dev/ennco-revenue-platform/src/lib/runtime/config.test.ts","M2","EVIDENCE_READY","VERIFIED_SOURCE","Crear cuentas ENNCO aisladas sólo después de aprobación"
"REQ-009","PROGRAM_REQUIREMENT","Contrato 2.9","Integrar asistente conversacional a propuestas","P1","Assistant","Product Engineering","Eval suite x2","Contrato fuente local","/Users/Jorge/dev/teckel-discovery/sales/ennco/Contrato-ENNCO-Teckel.pdf#page=3","M4","NOT_STARTED","VERIFIED_SOURCE","Mantener fail closed y excluir garantías precio final descuentos y fechas"
"REQ-010","PROGRAM_REQUIREMENT","Contrato 2.10","Entregar documentación y capacitación","P1","Handoff","Product Engineering","UAT y checklist","Contrato fuente local","/Users/Jorge/dev/teckel-discovery/sales/ennco/Contrato-ENNCO-Teckel.pdf#page=3","M9","NOT_STARTED","VERIFIED_SOURCE","Preparar runbooks y UAT durante el desarrollo"
